,Date,Hour,Number_of_Incidents
0,1/1/2018,0,9
1,1/1/2018,1,2
2,1/1/2018,2,9
3,1/1/2018,3,2
4,1/1/2018,4,2
5,1/1/2018,5,2
6,1/1/2018,6,3
7,1/1/2018,7,1
8,1/1/2018,8,1
9,1/1/2018,9,2
10,1/1/2018,10,4
11,1/1/2018,11,6
12,1/1/2018,12,6
13,1/1/2018,13,4
14,1/1/2018,14,5
15,1/1/2018,15,10
16,1/1/2018,16,8
17,1/1/2018,17,4
18,1/1/2018,18,4
19,1/1/2018,19,1
20,1/1/2018,20,2
21,1/1/2018,21,1
22,1/1/2018,22,2
23,1/1/2018,23,3
24,1/10/2018,0,2
25,1/10/2018,1,2
26,1/10/2018,2,1
27,1/10/2018,3,1
28,1/10/2018,5,1
29,1/10/2018,6,6
30,1/10/2018,7,16
31,1/10/2018,8,4
32,1/10/2018,9,4
33,1/10/2018,10,4
34,1/10/2018,11,10
35,1/10/2018,12,10
36,1/10/2018,13,7
37,1/10/2018,14,9
38,1/10/2018,15,17
39,1/10/2018,16,12
40,1/10/2018,17,17
41,1/10/2018,18,21
42,1/10/2018,19,17
43,1/10/2018,20,8
44,1/10/2018,21,3
45,1/10/2018,22,7
46,1/10/2018,23,4
47,1/11/2018,0,7
48,1/11/2018,1,1
49,1/11/2018,2,6
50,1/11/2018,3,3
51,1/11/2018,4,3
52,1/11/2018,5,1
53,1/11/2018,6,7
54,1/11/2018,7,17
55,1/11/2018,8,12
56,1/11/2018,9,8
57,1/11/2018,10,8
58,1/11/2018,11,8
59,1/11/2018,12,7
60,1/11/2018,13,15
61,1/11/2018,14,18
62,1/11/2018,15,22
63,1/11/2018,16,20
64,1/11/2018,17,17
65,1/11/2018,18,11
66,1/11/2018,19,10
67,1/11/2018,20,9
68,1/11/2018,21,7
69,1/11/2018,22,9
70,1/11/2018,23,1
71,1/12/2018,0,2
72,1/12/2018,1,2
73,1/12/2018,3,2
74,1/12/2018,4,1
75,1/12/2018,5,2
76,1/12/2018,6,10
77,1/12/2018,7,10
78,1/12/2018,8,16
79,1/12/2018,9,10
80,1/12/2018,10,8
81,1/12/2018,11,14
82,1/12/2018,12,8
83,1/12/2018,13,8
84,1/12/2018,14,13
85,1/12/2018,15,9
86,1/12/2018,16,16
87,1/12/2018,17,26
88,1/12/2018,18,20
89,1/12/2018,19,12
90,1/12/2018,20,7
91,1/12/2018,21,9
92,1/12/2018,22,5
93,1/12/2018,23,7
94,1/13/2018,0,7
95,1/13/2018,1,2
96,1/13/2018,2,5
97,1/13/2018,3,1
98,1/13/2018,4,2
99,1/13/2018,5,1
100,1/13/2018,6,6
101,1/13/2018,7,5
102,1/13/2018,8,9
103,1/13/2018,9,5
104,1/13/2018,10,10
105,1/13/2018,11,8
106,1/13/2018,12,8
107,1/13/2018,13,17
108,1/13/2018,14,14
109,1/13/2018,15,14
110,1/13/2018,16,7
111,1/13/2018,17,9
112,1/13/2018,18,11
113,1/13/2018,19,9
114,1/13/2018,20,8
115,1/13/2018,21,1
116,1/13/2018,22,7
117,1/13/2018,23,1
118,1/14/2018,0,3
119,1/14/2018,1,4
120,1/14/2018,2,4
121,1/14/2018,3,4
122,1/14/2018,4,1
123,1/14/2018,6,1
124,1/14/2018,7,3
125,1/14/2018,8,1
126,1/14/2018,9,4
127,1/14/2018,10,2
128,1/14/2018,11,17
129,1/14/2018,12,7
130,1/14/2018,13,9
131,1/14/2018,14,6
132,1/14/2018,15,8
133,1/14/2018,16,12
134,1/14/2018,17,8
135,1/14/2018,18,12
136,1/14/2018,19,5
137,1/14/2018,20,6
138,1/14/2018,22,3
139,1/14/2018,23,4
140,1/15/2018,0,3
141,1/15/2018,1,1
142,1/15/2018,2,4
143,1/15/2018,3,1
144,1/15/2018,5,3
145,1/15/2018,6,4
146,1/15/2018,7,13
147,1/15/2018,8,7
148,1/15/2018,9,10
149,1/15/2018,10,8
150,1/15/2018,11,15
151,1/15/2018,12,22
152,1/15/2018,13,10
153,1/15/2018,14,12
154,1/15/2018,15,11
155,1/15/2018,16,11
156,1/15/2018,17,4
157,1/15/2018,18,11
158,1/15/2018,19,9
159,1/15/2018,20,8
160,1/15/2018,21,9
161,1/15/2018,22,8
162,1/15/2018,23,5
163,1/16/2018,0,3
164,1/16/2018,1,3
165,1/16/2018,2,4
166,1/16/2018,3,1
167,1/16/2018,5,5
168,1/16/2018,6,21
169,1/16/2018,7,24
170,1/16/2018,8,12
171,1/16/2018,9,14
172,1/16/2018,10,16
173,1/16/2018,11,10
174,1/16/2018,12,4
175,1/16/2018,13,8
176,1/16/2018,14,4
177,1/16/2018,15,4
178,1/16/2018,16,1
179,1/16/2018,17,4
180,1/16/2018,18,4
181,1/16/2018,19,5
182,1/16/2018,20,3
183,1/16/2018,21,3
184,1/16/2018,22,1
185,1/17/2018,0,1
186,1/17/2018,2,2
187,1/17/2018,4,1
188,1/17/2018,6,10
189,1/17/2018,7,20
190,1/17/2018,8,22
191,1/17/2018,9,11
192,1/17/2018,10,8
193,1/17/2018,11,10
194,1/17/2018,12,9
195,1/17/2018,13,15
196,1/17/2018,14,13
197,1/17/2018,15,15
198,1/17/2018,16,8
199,1/17/2018,17,19
200,1/17/2018,18,17
201,1/17/2018,19,6
202,1/17/2018,20,8
203,1/17/2018,21,3
204,1/17/2018,22,5
205,1/17/2018,23,4
206,1/18/2018,0,2
207,1/18/2018,2,1
208,1/18/2018,3,3
209,1/18/2018,4,2
210,1/18/2018,5,1
211,1/18/2018,6,5
212,1/18/2018,7,16
213,1/18/2018,8,7
214,1/18/2018,9,7
215,1/18/2018,10,6
216,1/18/2018,11,9
217,1/18/2018,12,9
218,1/18/2018,13,11
219,1/18/2018,14,14
220,1/18/2018,15,9
221,1/18/2018,16,12
222,1/18/2018,17,6
223,1/18/2018,18,20
224,1/18/2018,19,14
225,1/18/2018,20,4
226,1/18/2018,21,2
227,1/18/2018,22,3
228,1/18/2018,23,2
229,1/19/2018,0,5
230,1/19/2018,1,1
231,1/19/2018,2,2
232,1/19/2018,4,1
233,1/19/2018,5,3
234,1/19/2018,6,8
235,1/19/2018,7,15
236,1/19/2018,8,8
237,1/19/2018,9,12
238,1/19/2018,10,4
239,1/19/2018,11,10
240,1/19/2018,12,13
241,1/19/2018,13,8
242,1/19/2018,14,7
243,1/19/2018,15,14
244,1/19/2018,16,19
245,1/19/2018,17,19
246,1/19/2018,18,14
247,1/19/2018,19,8
248,1/19/2018,20,7
249,1/19/2018,21,13
250,1/19/2018,22,6
251,1/19/2018,23,8
252,1/2/2018,0,4
253,1/2/2018,2,2
254,1/2/2018,3,2
255,1/2/2018,5,3
256,1/2/2018,6,1
257,1/2/2018,7,6
258,1/2/2018,8,10
259,1/2/2018,9,9
260,1/2/2018,10,10
261,1/2/2018,11,9
262,1/2/2018,12,11
263,1/2/2018,13,17
264,1/2/2018,14,9
265,1/2/2018,15,15
266,1/2/2018,16,40
267,1/2/2018,17,46
268,1/2/2018,18,42
269,1/2/2018,19,16
270,1/2/2018,20,9
271,1/2/2018,21,6
272,1/2/2018,22,4
273,1/2/2018,23,1
274,1/20/2018,0,6
275,1/20/2018,1,3
276,1/20/2018,2,7
277,1/20/2018,3,7
278,1/20/2018,4,1
279,1/20/2018,5,2
280,1/20/2018,6,1
281,1/20/2018,7,7
282,1/20/2018,8,6
283,1/20/2018,9,6
284,1/20/2018,10,8
285,1/20/2018,11,6
286,1/20/2018,12,5
287,1/20/2018,13,9
288,1/20/2018,14,15
289,1/20/2018,15,14
290,1/20/2018,16,13
291,1/20/2018,17,12
292,1/20/2018,18,10
293,1/20/2018,19,14
294,1/20/2018,20,3
295,1/20/2018,21,1
296,1/20/2018,22,4
297,1/20/2018,23,2
298,1/21/2018,0,5
299,1/21/2018,1,3
300,1/21/2018,2,6
301,1/21/2018,3,4
302,1/21/2018,4,1
303,1/21/2018,5,2
304,1/21/2018,6,1
305,1/21/2018,7,2
306,1/21/2018,8,1
307,1/21/2018,9,6
308,1/21/2018,10,9
309,1/21/2018,11,5
310,1/21/2018,12,11
311,1/21/2018,13,6
312,1/21/2018,14,8
313,1/21/2018,15,8
314,1/21/2018,16,4
315,1/21/2018,17,7
316,1/21/2018,18,9
317,1/21/2018,19,16
318,1/21/2018,20,8
319,1/21/2018,21,8
320,1/21/2018,22,6
321,1/21/2018,23,3
322,1/22/2018,0,2
323,1/22/2018,1,2
324,1/22/2018,2,3
325,1/22/2018,3,1
326,1/22/2018,5,1
327,1/22/2018,6,9
328,1/22/2018,7,13
329,1/22/2018,8,12
330,1/22/2018,9,13
331,1/22/2018,10,13
332,1/22/2018,11,9
333,1/22/2018,12,11
334,1/22/2018,13,17
335,1/22/2018,14,11
336,1/22/2018,15,16
337,1/22/2018,16,22
338,1/22/2018,17,19
339,1/22/2018,18,18
340,1/22/2018,19,11
341,1/22/2018,20,4
342,1/22/2018,21,4
343,1/22/2018,22,6
344,1/22/2018,23,1
345,1/23/2018,0,1
346,1/23/2018,1,2
347,1/23/2018,2,3
348,1/23/2018,3,2
349,1/23/2018,4,1
350,1/23/2018,5,2
351,1/23/2018,6,8
352,1/23/2018,7,9
353,1/23/2018,8,15
354,1/23/2018,9,10
355,1/23/2018,10,10
356,1/23/2018,11,4
357,1/23/2018,12,15
358,1/23/2018,13,9
359,1/23/2018,14,13
360,1/23/2018,15,21
361,1/23/2018,16,10
362,1/23/2018,17,8
363,1/23/2018,18,16
364,1/23/2018,19,10
365,1/23/2018,20,8
366,1/23/2018,21,6
367,1/23/2018,22,4
368,1/23/2018,23,2
369,1/24/2018,0,3
370,1/24/2018,1,3
371,1/24/2018,2,1
372,1/24/2018,3,1
373,1/24/2018,4,1
374,1/24/2018,5,1
375,1/24/2018,6,4
376,1/24/2018,7,14
377,1/24/2018,8,13
378,1/24/2018,9,10
379,1/24/2018,10,6
380,1/24/2018,11,9
381,1/24/2018,12,11
382,1/24/2018,13,14
383,1/24/2018,14,9
384,1/24/2018,15,20
385,1/24/2018,16,11
386,1/24/2018,17,13
387,1/24/2018,18,9
388,1/24/2018,19,8
389,1/24/2018,20,5
390,1/24/2018,21,4
391,1/24/2018,22,4
392,1/24/2018,23,1
393,1/25/2018,0,5
394,1/25/2018,1,1
395,1/25/2018,3,1
396,1/25/2018,4,2
397,1/25/2018,5,1
398,1/25/2018,6,4
399,1/25/2018,7,16
400,1/25/2018,8,13
401,1/25/2018,9,10
402,1/25/2018,10,4
403,1/25/2018,11,13
404,1/25/2018,12,13
405,1/25/2018,13,14
406,1/25/2018,14,14
407,1/25/2018,15,13
408,1/25/2018,16,11
409,1/25/2018,17,14
410,1/25/2018,18,13
411,1/25/2018,19,5
412,1/25/2018,20,10
413,1/25/2018,21,6
414,1/25/2018,22,2
415,1/25/2018,23,4
416,1/26/2018,1,2
417,1/26/2018,2,3
418,1/26/2018,3,2
419,1/26/2018,5,3
420,1/26/2018,6,6
421,1/26/2018,7,12
422,1/26/2018,8,20
423,1/26/2018,9,7
424,1/26/2018,10,11
425,1/26/2018,11,2
426,1/26/2018,12,15
427,1/26/2018,13,13
428,1/26/2018,14,8
429,1/26/2018,15,16
430,1/26/2018,16,10
431,1/26/2018,17,18
432,1/26/2018,18,18
433,1/26/2018,19,10
434,1/26/2018,20,3
435,1/26/2018,21,11
436,1/26/2018,22,4
437,1/26/2018,23,10
438,1/27/2018,0,7
439,1/27/2018,1,1
440,1/27/2018,2,3
441,1/27/2018,3,8
442,1/27/2018,4,5
443,1/27/2018,5,3
444,1/27/2018,6,4
445,1/27/2018,7,6
446,1/27/2018,8,17
447,1/27/2018,9,11
448,1/27/2018,10,5
449,1/27/2018,11,12
450,1/27/2018,12,17
451,1/27/2018,13,20
452,1/27/2018,14,13
453,1/27/2018,15,9
454,1/27/2018,16,8
455,1/27/2018,17,9
456,1/27/2018,18,9
457,1/27/2018,19,4
458,1/27/2018,20,7
459,1/27/2018,21,3
460,1/27/2018,22,5
461,1/27/2018,23,6
462,1/28/2018,0,5
463,1/28/2018,1,4
464,1/28/2018,2,5
465,1/28/2018,3,6
466,1/28/2018,4,2
467,1/28/2018,5,5
468,1/28/2018,7,2
469,1/28/2018,8,2
470,1/28/2018,9,10
471,1/28/2018,10,6
472,1/28/2018,11,7
473,1/28/2018,12,7
474,1/28/2018,13,14
475,1/28/2018,14,5
476,1/28/2018,15,11
477,1/28/2018,16,12
478,1/28/2018,17,6
479,1/28/2018,18,7
480,1/28/2018,19,7
481,1/28/2018,20,5
482,1/28/2018,21,4
483,1/28/2018,22,6
484,1/28/2018,23,5
485,1/29/2018,0,2
486,1/29/2018,1,1
487,1/29/2018,2,4
488,1/29/2018,3,1
489,1/29/2018,4,1
490,1/29/2018,5,4
491,1/29/2018,6,2
492,1/29/2018,7,8
493,1/29/2018,8,17
494,1/29/2018,9,10
495,1/29/2018,10,13
496,1/29/2018,11,4
497,1/29/2018,12,12
498,1/29/2018,13,13
499,1/29/2018,14,11
500,1/29/2018,15,7
501,1/29/2018,16,19
502,1/29/2018,17,17
503,1/29/2018,18,17
504,1/29/2018,19,2
505,1/29/2018,20,6
506,1/29/2018,21,4
507,1/29/2018,22,6
508,1/29/2018,23,3
509,1/3/2018,0,3
510,1/3/2018,1,1
511,1/3/2018,2,3
512,1/3/2018,3,1
513,1/3/2018,4,2
514,1/3/2018,5,4
515,1/3/2018,6,10
516,1/3/2018,7,15
517,1/3/2018,8,16
518,1/3/2018,9,16
519,1/3/2018,10,9
520,1/3/2018,11,12
521,1/3/2018,12,6
522,1/3/2018,13,12
523,1/3/2018,14,8
524,1/3/2018,15,5
525,1/3/2018,16,12
526,1/3/2018,17,17
527,1/3/2018,18,21
528,1/3/2018,19,10
529,1/3/2018,20,8
530,1/3/2018,21,1
531,1/3/2018,22,7
532,1/3/2018,23,3
533,1/30/2018,0,1
534,1/30/2018,1,1
535,1/30/2018,3,1
536,1/30/2018,4,3
537,1/30/2018,5,2
538,1/30/2018,6,2
539,1/30/2018,7,11
540,1/30/2018,8,17
541,1/30/2018,9,8
542,1/30/2018,10,5
543,1/30/2018,11,10
544,1/30/2018,12,8
545,1/30/2018,13,12
546,1/30/2018,14,15
547,1/30/2018,15,9
548,1/30/2018,16,13
549,1/30/2018,17,10
550,1/30/2018,18,10
551,1/30/2018,19,16
552,1/30/2018,20,6
553,1/30/2018,21,7
554,1/30/2018,22,2
555,1/30/2018,23,2
556,1/31/2018,0,3
557,1/31/2018,1,1
558,1/31/2018,3,1
559,1/31/2018,4,2
560,1/31/2018,5,1
561,1/31/2018,6,5
562,1/31/2018,7,14
563,1/31/2018,8,6
564,1/31/2018,9,15
565,1/31/2018,10,7
566,1/31/2018,11,11
567,1/31/2018,12,13
568,1/31/2018,13,8
569,1/31/2018,14,15
570,1/31/2018,15,20
571,1/31/2018,16,10
572,1/31/2018,17,17
573,1/31/2018,18,7
574,1/31/2018,19,11
575,1/31/2018,20,3
576,1/31/2018,21,4
577,1/31/2018,22,2
578,1/31/2018,23,7
579,1/4/2018,0,1
580,1/4/2018,1,3
581,1/4/2018,2,1
582,1/4/2018,3,3
583,1/4/2018,4,3
584,1/4/2018,5,5
585,1/4/2018,6,4
586,1/4/2018,7,13
587,1/4/2018,8,13
588,1/4/2018,9,6
589,1/4/2018,10,8
590,1/4/2018,11,6
591,1/4/2018,12,11
592,1/4/2018,13,10
593,1/4/2018,14,13
594,1/4/2018,15,13
595,1/4/2018,16,15
596,1/4/2018,17,12
597,1/4/2018,18,14
598,1/4/2018,19,11
599,1/4/2018,20,6
600,1/4/2018,21,2
601,1/4/2018,22,2
602,1/4/2018,23,3
603,1/5/2018,0,4
604,1/5/2018,1,3
605,1/5/2018,2,3
606,1/5/2018,3,2
607,1/5/2018,5,7
608,1/5/2018,6,5
609,1/5/2018,7,10
