,Date,Issue_Reported,Number_of_Incidents
0,1/1/2018,Traffic Hazard,32
1,1/1/2018,Crash Urgent,18
2,1/1/2018,Crash Service,13
3,1/1/2018,zSTALLED VEHICLE,6
4,1/1/2018,TRFC HAZD/ DEBRIS,5
5,1/1/2018,Traffic Impediment,5
6,1/1/2018,LOOSE LIVESTOCK,4
7,1/1/2018,COLLISION,3
8,1/1/2018,COLLISION WITH INJURY,3
9,1/1/2018,COLLISN/ LVNG SCN,3
10,1/1/2018,VEHICLE FIRE,1
11,1/10/2018,Traffic Hazard,60
12,1/10/2018,Crash Urgent,42
13,1/10/2018,Traffic Impediment,18
14,1/10/2018,Crash Service,16
15,1/10/2018,COLLISION WITH INJURY,14
16,1/10/2018,TRFC HAZD/ DEBRIS,12
17,1/10/2018,COLLISION,11
18,1/10/2018,zSTALLED VEHICLE,7
19,1/10/2018,COLLISN/ LVNG SCN,2
20,1/10/2018,VEHICLE FIRE,1
21,1/11/2018,Traffic Hazard,79
22,1/11/2018,Crash Urgent,43
23,1/11/2018,Crash Service,28
24,1/11/2018,Traffic Impediment,25
25,1/11/2018,TRFC HAZD/ DEBRIS,17
26,1/11/2018,COLLISION,15
27,1/11/2018,COLLISION WITH INJURY,13
28,1/11/2018,zSTALLED VEHICLE,5
29,1/11/2018,COLLISN/ LVNG SCN,1
30,1/11/2018,VEHICLE FIRE,1
31,1/12/2018,Traffic Hazard,68
32,1/12/2018,Crash Urgent,52
33,1/12/2018,Crash Service,42
34,1/12/2018,TRFC HAZD/ DEBRIS,17
35,1/12/2018,Traffic Impediment,13
36,1/12/2018,COLLISION WITH INJURY,9
37,1/12/2018,COLLISION,7
38,1/12/2018,COLLISN/ LVNG SCN,3
39,1/12/2018,zSTALLED VEHICLE,3
40,1/12/2018,AUTO/ PED,1
41,1/12/2018,BLOCKED DRIV/ HWY,1
42,1/12/2018,COLLISION/PRIVATE PROPERTY,1
43,1/13/2018,Traffic Hazard,64
44,1/13/2018,Crash Urgent,33
45,1/13/2018,Crash Service,28
46,1/13/2018,Traffic Impediment,13
47,1/13/2018,TRFC HAZD/ DEBRIS,12
48,1/13/2018,COLLISION WITH INJURY,4
49,1/13/2018,COLLISN/ LVNG SCN,4
50,1/13/2018,zSTALLED VEHICLE,4
51,1/13/2018,COLLISION,3
52,1/13/2018,BLOCKED DRIV/ HWY,1
53,1/13/2018,LOOSE LIVESTOCK,1
54,1/14/2018,Crash Urgent,32
55,1/14/2018,Traffic Hazard,31
56,1/14/2018,Crash Service,19
57,1/14/2018,Traffic Impediment,11
58,1/14/2018,zSTALLED VEHICLE,9
59,1/14/2018,COLLISION WITH INJURY,7
60,1/14/2018,COLLISION,5
61,1/14/2018,TRFC HAZD/ DEBRIS,5
62,1/14/2018,LOOSE LIVESTOCK,4
63,1/14/2018,COLLISION/PRIVATE PROPERTY,1
64,1/15/2018,Traffic Hazard,62
65,1/15/2018,Crash Urgent,46
66,1/15/2018,Crash Service,30
67,1/15/2018,Traffic Impediment,16
68,1/15/2018,TRFC HAZD/ DEBRIS,14
69,1/15/2018,zSTALLED VEHICLE,6
70,1/15/2018,COLLISION,4
71,1/15/2018,COLLISION WITH INJURY,4
72,1/15/2018,LOOSE LIVESTOCK,4
73,1/15/2018,COLLISN/ LVNG SCN,2
74,1/15/2018,VEHICLE FIRE,1
75,1/16/2018,Crash Urgent,48
76,1/16/2018,Traffic Hazard,35
77,1/16/2018,Crash Service,14
78,1/16/2018,COLLISION,13
79,1/16/2018,TRFC HAZD/ DEBRIS,13
80,1/16/2018,zSTALLED VEHICLE,9
81,1/16/2018,ICY ROADWAY,8
82,1/16/2018,Traffic Impediment,8
83,1/16/2018,COLLISION WITH INJURY,6
84,1/17/2018,Traffic Hazard,76
85,1/17/2018,Crash Urgent,45
86,1/17/2018,Crash Service,29
87,1/17/2018,Traffic Impediment,18
88,1/17/2018,zSTALLED VEHICLE,14
89,1/17/2018,COLLISION,9
90,1/17/2018,TRFC HAZD/ DEBRIS,7
91,1/17/2018,LOOSE LIVESTOCK,4
92,1/17/2018,COLLISION WITH INJURY,3
93,1/17/2018,COLLISION/PRIVATE PROPERTY,1
94,1/17/2018,COLLISN/ LVNG SCN,1
95,1/18/2018,Traffic Hazard,55
96,1/18/2018,Crash Urgent,41
97,1/18/2018,TRFC HAZD/ DEBRIS,19
98,1/18/2018,Crash Service,17
99,1/18/2018,Traffic Impediment,12
100,1/18/2018,COLLISION,10
101,1/18/2018,zSTALLED VEHICLE,5
102,1/18/2018,COLLISION WITH INJURY,4
103,1/18/2018,COLLISN/ LVNG SCN,1
104,1/18/2018,LOOSE LIVESTOCK,1
105,1/19/2018,Traffic Hazard,62
106,1/19/2018,Crash Urgent,52
107,1/19/2018,Crash Service,30
108,1/19/2018,COLLISION,19
109,1/19/2018,Traffic Impediment,14
110,1/19/2018,TRFC HAZD/ DEBRIS,9
111,1/19/2018,COLLISION WITH INJURY,8
112,1/19/2018,LOOSE LIVESTOCK,6
113,1/19/2018,COLLISN/ LVNG SCN,3
114,1/19/2018,zSTALLED VEHICLE,2
115,1/2/2018,Crash Urgent,73
116,1/2/2018,Traffic Hazard,68
117,1/2/2018,COLLISION,29
118,1/2/2018,Crash Service,28
119,1/2/2018,COLLISION WITH INJURY,17
120,1/2/2018,Traffic Impediment,15
121,1/2/2018,ICY ROADWAY,14
122,1/2/2018,TRFC HAZD/ DEBRIS,14
123,1/2/2018,zSTALLED VEHICLE,9
124,1/2/2018,LOOSE LIVESTOCK,3
125,1/2/2018,COLLISN/ LVNG SCN,2
126,1/20/2018,Traffic Hazard,59
127,1/20/2018,Crash Urgent,30
128,1/20/2018,Crash Service,26
129,1/20/2018,Traffic Impediment,12
130,1/20/2018,COLLISION WITH INJURY,10
131,1/20/2018,TRFC HAZD/ DEBRIS,8
132,1/20/2018,zSTALLED VEHICLE,6
133,1/20/2018,COLLISION,5
134,1/20/2018,COLLISN/ LVNG SCN,3
135,1/20/2018,LOOSE LIVESTOCK,2
136,1/20/2018,VEHICLE FIRE,1
137,1/21/2018,Traffic Hazard,44
138,1/21/2018,Crash Urgent,33
139,1/21/2018,Crash Service,21
140,1/21/2018,Traffic Impediment,14
141,1/21/2018,COLLISION,7
142,1/21/2018,LOOSE LIVESTOCK,5
143,1/21/2018,TRFC HAZD/ DEBRIS,5
144,1/21/2018,COLLISION WITH INJURY,4
145,1/21/2018,COLLISN/ LVNG SCN,3
146,1/21/2018,zSTALLED VEHICLE,3
147,1/22/2018,Traffic Hazard,71
148,1/22/2018,Crash Urgent,60
149,1/22/2018,Crash Service,38
150,1/22/2018,TRFC HAZD/ DEBRIS,12
151,1/22/2018,Traffic Impediment,12
152,1/22/2018,COLLISION,9
153,1/22/2018,COLLISION WITH INJURY,5
154,1/22/2018,zSTALLED VEHICLE,5
155,1/22/2018,COLLISN/ LVNG SCN,3
156,1/22/2018,LOOSE LIVESTOCK,2
157,1/22/2018,VEHICLE FIRE,1
158,1/23/2018,Traffic Hazard,66
159,1/23/2018,Crash Service,28
160,1/23/2018,Crash Urgent,28
161,1/23/2018,Traffic Impediment,16
162,1/23/2018,zSTALLED VEHICLE,15
163,1/23/2018,COLLISION,13
164,1/23/2018,TRFC HAZD/ DEBRIS,9
165,1/23/2018,LOOSE LIVESTOCK,7
166,1/23/2018,COLLISION WITH INJURY,4
167,1/23/2018,COLLISN/ LVNG SCN,2
168,1/23/2018,COLLISION/PRIVATE PROPERTY,1
169,1/24/2018,Traffic Hazard,52
170,1/24/2018,Crash Urgent,43
171,1/24/2018,Crash Service,20
172,1/24/2018,COLLISION,14
173,1/24/2018,TRFC HAZD/ DEBRIS,13
174,1/24/2018,Traffic Impediment,10
175,1/24/2018,zSTALLED VEHICLE,9
176,1/24/2018,LOOSE LIVESTOCK,6
177,1/24/2018,COLLISION WITH INJURY,4
178,1/24/2018,COLLISN/ LVNG SCN,3
179,1/24/2018,VEHICLE FIRE,1
180,1/25/2018,Traffic Hazard,63
