,Date,Hour,Minute,Number_of_Incidents,Total_Volume,Average_Speed
0,1/1/2018,0,0,2,2246,34.43333333333333
1,1/1/2018,0,15,1,2011,35.12698412698413
2,1/1/2018,0,30,3,1750,34.131147540983605
3,1/1/2018,0,45,3,2129,33.59016393442623
4,1/1/2018,1,45,2,2357,35.58461538461538
5,1/1/2018,2,0,3,2275,35.24193548387097
6,1/1/2018,2,15,3,2302,35.333333333333336
7,1/1/2018,2,45,3,2119,35.54838709677419
8,1/1/2018,3,15,1,1836,35.622950819672134
9,1/1/2018,3,30,1,1583,35.377049180327866
10,1/1/2018,4,0,1,929,36.0
11,1/1/2018,4,30,1,616,35.93103448275862
12,1/1/2018,5,0,1,511,37.189655172413794
13,1/1/2018,5,45,1,411,37.50847457627118
14,1/1/2018,6,0,1,415,37.824561403508774
15,1/1/2018,6,45,2,496,37.810344827586206
16,1/1/2018,7,0,1,565,38.47540983606557
17,1/1/2018,8,45,1,864,38.9344262295082
18,1/1/2018,9,15,1,1129,39.583333333333336
19,1/1/2018,9,30,1,1342,38.80327868852459
20,1/1/2018,10,15,3,1845,37.65079365079365
21,1/1/2018,10,45,1,2169,37.333333333333336
22,1/1/2018,11,0,3,2380,38.01587301587302
23,1/1/2018,11,30,2,3031,37.354838709677416
24,1/1/2018,11,45,1,3124,37.52459016393443
25,1/1/2018,12,0,1,3535,36.693548387096776
26,1/1/2018,12,15,1,3728,36.0
27,1/1/2018,12,30,1,3964,36.390625
28,1/1/2018,12,45,3,3913,36.93650793650794
29,1/1/2018,13,30,1,4248,35.682539682539684
30,1/1/2018,13,45,3,4396,35.3968253968254
31,1/1/2018,14,15,1,4231,35.91935483870968
32,1/1/2018,14,30,1,4433,35.87301587301587
33,1/1/2018,14,45,3,4480,35.6031746031746
34,1/1/2018,15,0,2,4404,36.696969696969695
35,1/1/2018,15,15,3,4448,35.73015873015873
36,1/1/2018,15,30,4,4381,36.17741935483871
37,1/1/2018,15,45,1,4256,36.61290322580645
38,1/1/2018,16,0,1,4331,35.95238095238095
39,1/1/2018,16,15,5,4312,37.12903225806452
40,1/1/2018,16,30,2,4176,36.83870967741935
