,Date,Hour,Number_of_Incidents,Total_Volume,Average_Speed
740,11/24/2017,4,2,676,39.81521739
93,1/17/2018,4,1,706,36.7311828
418,1/3/2018,3,1,715,34.74193548
419,1/3/2018,4,2,723,34.76683938
1474,12/6/2017,4,1,734,38.24864865
441,1/30/2018,3,1,769,37.63541667
1450,12/5/2017,4,2,772,40.31318681
160,1/2/2018,3,2,790,36.55555556
279,1/24/2018,4,1,791,39.05978261
255,1/23/2018,4,1,800,36.8972973
1498,12/7/2017,4,2,800,38.44444444
254,1/23/2018,3,2,802,37.66480447
1426,12/4/2017,4,2,815,40.81621622
489,1/4/2018,4,3,830,35.33168317
913,11/5/2017,1,6,841,37.74074074
92,1/17/2018,2,2,846,36.63861386
2121,2/8/2018,4,2,851,37.375
114,1/18/2018,3,3,865,37.82089552
1449,12/5/2017,3,1,871,39.94535519
442,1/30/2018,4,3,876,37.41836735
1522,12/8/2017,4,1,878,38.11229947
1473,12/6/2017,3,1,883,38.16666667
115,1/18/2018,4,2,894,37.98974359
464,1/31/2018,3,1,909,36.55223881
579,1/8/2018,3,3,909,38.23041475
2076,2/6/2018,3,1,910,37.95283019
302,1/25/2018,4,2,916,37.95652174
2870,4/12/2018,3,3,918,37.5862069
488,1/4/2018,3,3,921,35.30845771
231,1/22/2018,3,1,924,37.35106383
855,11/29/2017,4,1,927,38.28703704
278,1/24/2018,3,1,929,37.56382979
394,1/29/2018,3,1,929,37.12621359
301,1/25/2018,3,1,940,36.72631579
1660,2/13/2018,3,2,948,36.89912281
395,1/29/2018,4,1,949,38.07389163
1425,12/4/2017,3,2,951,39.67553191
603,1/9/2018,4,1,952,37.54794521
809,11/27/2017,3,2,959,38.99537037
51,1/11/2018,4,3,972,37.30044843
886,11/30/2017,4,2,976,38.50753769
1661,2/13/2018,4,1,986,36.12328767
982,12/11/2017,4,4,994,37.66055046
465,1/31/2018,4,2,995,37.4195122
580,1/8/2018,4,3,995,38.0733945
27,1/10/2018,3,1,1000,37.31651376
981,12/11/2017,3,3,1006,38.61643836
1569,2/1/2018,4,3,1017,38.91219512
3194,4/25/2018,3,1,1021,37.00990099
1497,12/7/2017,3,2,1028,36.95789474
253,1/23/2018,2,3,1036,36.84455959
2098,2/7/2018,3,1,1053,36.64705882
885,11/30/2017,3,4,1060,37.80582524
1306,12/24/2017,5,1,1065,38.1036036
1639,2/12/2018,3,3,1065,36.46788991
2716,3/6/2018,3,2,1065,39.39130435
1568,2/1/2018,3,1,1071,37.92270531
1004,12/12/2017,4,1,1072,38.33333333
741,11/24/2017,5,2,1074,39.7989418
854,11/29/2017,3,4,1080,38.55660377
1213,12/20/2017,4,2,1086,38.18877551
1973,2/27/2018,3,1,1089,40.11836735
1144,12/18/2017,4,2,1093,38.32173913
1236,12/21/2017,4,3,1100,38.85416667
810,11/27/2017,4,3,1102,38.09633028
417,1/3/2018,2,3,1104,35.07943925
2443,3/20/2018,3,1,1109,38.61038961
1049,12/14/2017,4,1,1113,38.3196347
512,1/5/2018,3,2,1114,36.46073298
1820,2/2/2018,4,1,1118,37.50769231
1003,12/12/2017,3,1,1121,37.89189189
74,1/12/2018,4,1,1123,34.09803922
50,1/11/2018,3,3,1133,37.02252252
3217,4/26/2018,4,1,1153,37.51690821
3053,4/2/2018,3,3,1169,37.6730038
764,11/25/2017,4,2,1170,38.95375723
1335,12/29/2017,4,5,1173,37.91780822
2761,3/8/2018,3,1,1183,39.69545455
3489,5/1/2018,3,2,1187,38.09433962
3309,4/3/2018,3,2,1192,37.5372549
1951,2/26/2018,3,1,1194,38.91489362
138,1/19/2018,4,1,1201,37.30288462
559,1/7/2018,5,1,1202,39.02764977
1521,12/8/2017,3,5,1204,36.9047619
1212,12/20/2017,3,2,1205,37.84848485
159,1/2/2018,2,2,1208,36.56888889
230,1/22/2018,2,3,1210,37.47643979
1448,12/5/2017,2,5,1211,40.07526882
535,1/6/2018,4,1,1214,36.10047847
1952,2/26/2018,4,1,1216,39.25431034
1683,2/14/2018,3,3,1220,38.19277108
935,12/1/2017,4,1,1221,38.74879227
536,1/6/2018,5,3,1225,36.16
1359,12/3/2017,5,5,1225,39.02525253
3171,4/24/2018,3,1,1225,38.45627376
2604,3/27/2018,4,1,1226,38.17322835
3512,5/2/2018,3,1,1239,37.95289855
2603,3/27/2018,3,1,1243,38.16532258
2145,2/9/2018,4,2,1248,37.59734513
1684,2/14/2018,4,1,1255,38.99193548
1026,12/13/2017,3,2,1256,37.97333333
3148,4/23/2018,3,2,1260,38.13618677
1259,12/22/2017,4,1,1262,39.21134021
1235,12/21/2017,3,2,1263,38.38461538
277,1/24/2018,2,1,1267,37.24615385
1659,2/13/2018,2,1,1267,36.74222222
113,1/18/2018,2,1,1279,37.37681159
1993,2/28/2018,3,1,1280,39.8625
2399,3/19/2018,3,2,1281,39.04166667
2580,3/26/2018,3,1,1288,39.13654618
808,11/27/2017,2,1,1289,38.11160714
2965,4/16/2018,3,1,1296,37.7372549
209,1/21/2018,5,2,1301,37.72727273
2120,2/8/2018,3,5,1310,36.56390977
1843,2/20/2018,4,1,1321,40.5952381
1048,12/14/2017,3,2,1342,37.94372294
1819,2/2/2018,3,1,1344,37.43979058
2989,4/17/2018,4,1,1347,39.0754717
3240,4/27/2018,4,2,1355,36.63461538
487,1/4/2018,2,1,1357,35.59708738
2014,2/3/2018,5,2,1357,36.065
1638,2/12/2018,2,2,1365,36.01762115
1472,12/6/2017,2,3,1373,36.86528497
393,1/29/2018,2,4,1378,36.98571429
373,1/28/2018,5,5,1379,38.3236715
2168,3/1/2018,3,3,1392,39.55645161
831,11/28/2017,2,1,1397,37.64912281
2638,3/29/2018,3,3,1399,38.31939163
1283,12/23/2017,4,1,1401,37.36787565
1496,12/7/2017,2,1,1401,37.47524752
1122,12/17/2017,5,4,1403,38.1460177
1284,12/23/2017,5,5,1411,37.99492386
3513,5/2/2018,4,2,1417,38.08856089
2144,2/9/2018,3,1,1418,37.81578947
3375,4/5/2018,4,1,1420,38.15613383
980,12/11/2017,2,1,1433,37.57534247
3193,4/25/2018,2,1,1440,37
2762,3/8/2018,4,2,1441,40.03636364
959,12/10/2017,5,2,1442,38.25652174
1404,12/31/2017,4,1,1446,37.30803571
1707,2/15/2018,3,1,1449,38.628
1382,12/30/2017,5,2,1450,38.33766234
184,1/20/2018,4,1,1451,38.47692308
853,11/29/2017,2,4,1456,37.72985782
1191,12/2/2017,5,2,1457,37.86320755
578,1/8/2018,2,1,1458,37.47863248
2013,2/3/2018,4,2,1461,36.29145729
2871,4/12/2018,4,1,1469,38.95955882
2966,4/16/2018,4,3,1472,37.99622642
1567,2/1/2018,2,4,1476,38.48598131
2737,3/7/2018,2,2,1479,39.16528926
3054,4/2/2018,4,1,1480,39.30223881
2097,2/7/2018,2,1,1483,36.17699115
3172,4/24/2018,4,2,1490,38.91078067
2849,4/11/2018,4,1,1491,39.03717472
2466,3/21/2018,4,2,1496,40.89353612
602,1/9/2018,2,2,1500,36.29565217
1842,2/20/2018,2,1,1501,39.41365462
3490,5/1/2018,4,1,1503,39.01470588
2738,3/7/2018,3,2,1504,39.3359375
1381,12/30/2017,4,2,1505,37.25541126
2639,3/29/2018,4,1,1506,38.68148148
788,11/26/2017,5,4,1518,38.66521739
2489,3/22/2018,4,1,1521,40.10344828
3216,4/26/2018,2,1,1521,36.62616822
185,1/20/2018,5,2,1525,37.865
2169,3/1/2018,4,1,1525,39.62348178
2625,3/28/2018,3,1,1532,34.44751381
1073,12/15/2017,4,1,1534,38.09913793
