,curdatetime,day,day_of_week,detid,detname,direction,hour,int_id,intname,minute,month,occupancy,row_id,speed,timebin,volume,year
0,2017-09-13T12:15:00.000,13,3,14,SB_out,SB,12,4,CONGRESSBARTON SPRINGS,15,9,3,0000156ee47d85a670b63e3c8524b234,34,12:15,65,2017
1,2017-09-22T04:15:01.000,22,5,93,NB_in,NB,4,24,LOOP 360LAKEWOOD,15,9,0,00001ba3df02c939ecbaa9de01bff153,65,04:15,1,2017
2,2017-09-13T15:00:00.000,13,3,69,NB_in,NB,15,11,BurnetRutland,0,9,6,00003197c8a849a8e428b95fac3a26dd,38,15:00,104,2017
3,2017-11-03T19:45:00.000,3,5,45,EB_in,EB,19,15,Cesar ChavezBR Reynolds,45,11,9,00008d281d70f69e19861976d4b881e7,39,19:45,206,2017
4,2017-10-20T10:00:00.000,20,5,92,NB_out,NB,10,24,LOOP 360LAKEWOOD,0,10,10,0000aa83cc5b6d282e5be5d7ead02651,47,10:00,237,2017
5,2017-09-16T16:30:01.000,16,6,77,Lane4,None,16,19,KINNEYLAMAR,30,9,0,0000c4c6fea10e9006f2102724dafa71,149,16:30,1,2017
6,2017-09-11T22:00:00.000,11,1,12,NB_in,NB,22,3,LAMARSHOALCREEK,0,9,4,0000cc5e6a4da70aed8ad2349cd58cbe,29,22:00,84,2017
7,2017-11-20T22:30:00.000,20,1,49,NB_in,NB,22,16,N Lamar15th,30,11,2,0000d46fca944a7dc63af4c5a6c32dba,37,22:30,65,2017
8,2017-12-10T22:15:00.000,10,0,51,SB_out,SB,22,16,N Lamar15th,15,12,2,0000e147d4f12297b0c0cba9ea853baf,35,22:15,42,2017
9,2017-12-01T04:45:00.000,1,5,5,NB_mid,NB,4,4,CONGRESSBARTON SPRINGS,45,12,0,000113b6bf6236f2f3807d3300005b31,35,04:45,9,2017
10,2017-09-12T16:15:01.000,12,2,86,NB_out,NB,16,22,LAMARCOLLIER,15,9,5,00012659e45e90aa4bf53412bdd72aa0,37,16:15,112,2017
11,2017-11-20T11:45:00.000,20,1,58,SB_in,SB,11,8,LOOP 360WALSH TARLTON,45,11,2,000127cf93ebf6f401347324b1e12657,47,11:45,48,2017
